production_budget,worldwide_gross,title_year,aspect_ratio,duration,duration.1,cast_total_facebook_likes,budget,imdb_score,gross
425000000,2783918982,2009,1.78,178,178,4834,237000000,7.9,760505847
306000000,2058662225,2002.130733,2.126976154,108.5771861,108.5771861,143,40455386.33,7.1,48319332.87
300000000,963420425,2007,2.35,169,169,48350,300000000,7.1,309404152
300000000,879620923,2015,2.35,148,148,11700,245000000,6.8,200074175
275000000,1084439099,2012,2.35,164,164,106759,250000000,8.5,448130642
275000000,260002115,2013,2.35,150,150,45757,215000000,6.5,89289910
275000000,282778100,2012,2.35,132,132,1873,263700000,6.6,73058679
260000000,586581936,2010,1.85,100,100,2036,260000000,7.8,200807262
258000000,890875303,2007,2.35,156,156,46055,258000000,6.2,336530303
258000000,890875303,2007,2.35,156,156,46055,258000000,6.2,336530303
250000000,1404705868,2015,2.35,141,141,92000,250000000,7.5,458991599
250000000,1150864745,2016,2.35,147,147,64798,250000000,8.2,407197282
250000000,868160194,2016,2.35,183,183,24450,250000000,6.9,330249062
250000000,1017003568,2012,2.35,182,182,9152,180000000,7.9,303001229
250000000,935083686,2009,2.35,153,153,58753,250000000,7.5,301956980
250000000,960366855,2013,2.35,186,186,9152,225000000,7.9,258355354
250000000,955119788,2014,2.35,164,164,9152,250000000,7.5,255108370
250000000,1045663875,2011,2.35,136,136,54083,250000000,6.7,241063875
232000000,374085065,2006,2.35,169,169,29991,209000000,6.1,200069408
230000000,591692078,2008,2.35,106,106,2023,200000000,6.7,168368427
225000000,1066215812,2006,2.35,151,151,48486,225000000,7.3,423032628
225000000,667999518,2013,2.35,143,143,20495,225000000,7.2,291021565
225000000,417341288,2008,2.35,150,150,22697,225000000,6.6,141614023
220000000,757890267,2012,2.35,153,153,28489,230000000,7,262030663
215000000,1670328025,2015,2,124,124,8458,150000000,7,652177271
210000000,836519699,2009,2.35,150,150,3218,200000000,6,402076689
210000000,1104039076,2014,2.35,165,165,3988,210000000,5.7,245428137
210000000,459359555,2006,2.35,104,104,21714,210000000,6.8,234360014
210000000,322241588,2010,2.35,156,156,3244,200000000,6.7,105219735
209000000,305218228,2012,2.35,131,131,26679,209000000,5.9,65173160
200000000,2207615668,1997,2.35,194,194,45223,200000000,7.7,658672302
200000000,1069818229,2010,1.85,103,103,19085,200000000,8.3,414984497
200000000,1215392272,2013,2.35,195,195,30426,200000000,7.2,408992272
200000000,783705001,2004,2.35,135,135,43388,200000000,7.3,373377893
200000000,1110526981,2012,2.35,143,143,2039,200000000,7.8,304360277
200000000,1110526981,2012,2.35,143,143,2039,200000000,7.8,304360277
200000000,743588329,2013,1.85,104,104,14863,200000000,7.3,268488329
200000000,490359051,2013,2.35,130,130,73441,215000000,6.4,234903076
200000000,490359051,2013,2.35,130,130,73441,215000000,6.4,234903076
200000000,747862775,2014,2.35,149,149,91434,200000000,8,233914986
200000000,708996336,2014,2.35,142,142,28631,200000000,6.7,202853933
200000000,560155383,2011,2.35,106,106,4482,200000000,6.3,191450875
200000000,397562763,2010,2.35,125,125,25550,170000000,6.8,172051787
200000000,397562763,2010,2.35,125,125,25549,170000000,6.8,172051787
200000000,788408539,2009,2.35,158,158,2144,200000000,5.8,166112167
200000000,365491792,2009,2.35,118,118,27468,200000000,6.6,125320003
200000000,231201172,2011,2.35,123,123,17657,200000000,5.6,116593191
200000000,314594597,2010,2.35,116,116,16149,200000000,6.6,90755643
195000000,1123790543,2011,2.35,154,154,2593,195000000,6.3,352358779
195000000,197687603,2013,2.35,114,114,1766,195000000,6.3,65171860
190000000,1514019071,2015,2.35,140,140,79150,190000000,7.2,350034110
190000000,467381584,2013,2.35,132,132,21411,190000000,7.8,228756232
190000000,531514650,2013,2.35,123,123,32392,190000000,7,202351611
190000000,315709697,2009,2.35,96,96,48878,200000000,6.8,137850096
190000000,411002906,2013,1.85,131,131,19166,190000000,7,101785482
187500000,334354269,2015,2.35,93,93,696,40455386.33,6.8,123070338
186000000,582443126,2008,2.35,126,126,39252,140000000,7.9,318298180
185000000,1002891358,2008,2.35,152,152,57802,185000000,9,533316061
185000000,786558145,2008,2.35,122,122,14959,185000000,6.2,317011114
185000000,554606532,2012,2.35,93,93,5005,185000000,7.2,237282182
185000000,196968626,2016,2.35,122,122,1327,185000000,7.5,130468626
180000000,720539572,2005,2.35,150,150,1317,180000000,6.9,291709845
180000000,758536735,2014,2.35,97,97,15516,180000000,7,241407328
180000000,532590994,2008,2.35,98,98,2975,180000000,8.4,223806889
180000000,180047784,2011,1.85,126,126,36017,170000000,7.5,73820094
179000000,181982519,2015,2.35,127,127,47334,176000000,5.4,47375327
178000000,530842489,2016,2.35,144,144,49684,178000000,7.3,154985087
178000000,364406256,2014,2.35,113,113,12652,178000000,7.9,100189501
175000000,853923085,2015,1.85,95,95,2944,175000000,8.3,356454367
175000000,731542621,2009,1.85,96,96,2635,175000000,8.3,292979556
175000000,381687380,2009,2.35,94,94,2579,175000000,6.5,198332128
175000000,294387183,2016,2.35,123,123,11287,175000000,6.9,161087183
175000000,302469017,2009,2.35,118,118,26683,175000000,5.8,150167630
175000000,221229335,1999,1.85,106,106,15870,170000000,4.8,113745408
175000000,405760225,2008,2.35,112,112,9131,145000000,5.2,102176165
175000000,174131329,2007,2.35,96,96,108016,175000000,5.4,100289690
175000000,264246220,1995,1.85,176,176,1004,175000000,6.1,88246220
175000000,151659062,2013,2.35,128,128,20965,175000000,6.3,38297305
170000000,771172112,2014,2.35,121,121,32438,170000000,8.1,333130696
170000000,623561331,2010,2.35,124,124,48638,200000000,7,312057433
170000000,714401889,2014,2.35,136,136,36188,170000000,7.8,259746958
170000000,703545589,2014,1.85,130,130,14363,170000000,7.6,208543795
170000000,319090241,2004,2.35,100,100,16264,165000000,6.6,665426
170000000,401016924,2012,2.35,132,132,72881,170000000,6.1,155111815
170000000,433058296,2003,2.35,109,109,1769,200000000,6.4,150350192
170000000,277279693,2016,1.85,113,113,80806,170000000,6.4,76846624
165000000,756244673,2010,2.35,93,93,4628,165000000,6.4,238371987
165000000,652127828,2014,2.39,102,102,2963,165000000,7.9,222487711
165000000,494870991,2010,2.35,98,98,20453,165000000,8.2,217387997
165000000,496511521,2012,2.35,101,101,4451,165000000,7.8,189412677
165000000,665417894,2014,2.35,169,169,31488,165000000,8.6,187991439
165000000,379262220,2016,2.35,120,120,3233,165000000,5.5,102315545
160000000,807330936,2007,1.85,93,93,4705,160000000,6.1,320706665
160000000,650523427,2015,2.35,137,137,81385,160000000,6.6,281666058
160000000,355408305,2011,2.35,132,132,50983,160000000,7.8,146405371
160000000,329809326,2008,2.35,166,166,13333,150000000,7.8,127490802
160000000,217986320,2010,2.35,109,109,13388,150000000,6.1,63143812
160000000,181674817,2006,2.35,98,98,92456,160000000,5.6,60655503
160000000,433125655,2016,2.35,123,123,5505,160000000,7.3,46978995
155000000,418186950,2010,1.78,113,113,764,155000000,6.3,104383624
155000000,440160956,2015,2.35,126,126,38873,155000000,6.6,89732035
155000000,167297191,2004,2.35,206,206,24598,155000000,5.5,34293771
151500000,449239855,2001,2.35,184,184,5401,140000000,6.1,198539855
150000000,1274234980,2013,2.24,102,102,2582,150000000,7.6,400736600
150000000,942943935,2007,2.35,138,138,33433,150000000,7.5,292000866
150000000,896911078,2005,2.35,157,157,53413,150000000,7.6,289994397
150000000,738576929,2003,2.35,138,138,534,150000000,7.2,281492479
150000000,585532684,2007,2.35,104,104,13076,150000000,7.2,256386216
150000000,624234272,2008,2.35,102,102,21584,150000000,6.4,227946274
150000000,475825484,2005,1.85,115,115,57844,150000000,6.7,206456431
150000000,626549695,2007,2.35,111,111,4764,150000000,8,206435493
150000000,644600394,2013,2.35,112,112,59803,170000000,7.1,206360018
150000000,359142722,2005,2.35,128,128,59558,150000000,8.3,205343774
150000000,700868363,2015,2.35,131,131,21840,150000000,7.4,195000874
150000000,449326618,2011,2.35,115,115,60059,150000000,7,181015141
150000000,599516844,2008,1.85,89,89,3285,150000000,6.7,179982968
150000000,374825760,2009,2.35,119,119,40054,150000000,6.7,179883016
150000000,402231063,2009,2.35,105,105,54039,150000000,5.9,177243721
150000000,664837547,2011,2.35,90,90,21015,150000000,7.3,165230261
150000000,373136354,2015,2.35,120,120,40025,150000000,8.1,153629485
150000000,427289109,2003,2.35,129,129,1062,150000000,6.7,139259759
150000000,397501348,2006,2.35,124,124,34817,150000000,6.9,133382309
150000000,490875846,2009,2.35,146,146,16948,150000000,6.7,133375846
150000000,319713881,2010,2.35,103,103,2857,150000000,4.2,131564731
150000000,287594577,2007,1.85,91,91,6576,150000000,6.2,126597121
150000000,292817841,2009,2.35,88,88,2217,150000000,5.1,119420252
150000000,305270083,2012,1.85,99,99,16184,150000000,5.8,83640426
150000000,194995215,2007,2.35,115,115,31523,150000000,6.3,82161969
150000000,238202668,2012,1.85,113,113,80849,100000000,6.2,79711678
150000000,205440387,2013,2.35,131,131,18204,150000000,6.4,73103784
150000000,142634358,2010,1.85,119,119,13071,150000000,5.8,61937495
150000000,39549758,2011,2.35,88,88,2652,150000000,5.4,21379315
149000000,179357126,2006,1.85,85,85,35161,149000000,6.7,64459316
145000000,746921271,2012,1.85,93,93,2444,145000000,6.9,216366733
145000000,694713230,2011,2.35,133,133,21768,145000000,7.4,209364921
145000000,616102924,2014,2.35,102,102,23378,145000000,7.9,176997107
